id,name,diet,course,state,worth,cook_time,ingredients,region,flavor,year
209,Thalipeeth,Vegetarian,Snack,Gujarat,2841001,30,"Urad dal, bengal gram flour, dried mango, baking soda, black salt",West,Spicy,2014
210,Undhiyu,Vegetarian,Main Course,Gujarat,2813021,60,"Condensed milk, nestle cream, coconut ice, red food coloring, desiccated coconut",West,None specified,2014
211,Veg Kolhapuri,Vegetarian,Main Course,Gujarat,2763536,30,"Whole wheat flour, dal, kokum, gur, bengal gram flour",West,Spicy,2014
212,Vindaloo,Non-vegetarian,Snack,Gujarat,2742516,40,"Pav, aloo, peanut, pomegranate, star anise",West,Spicy,2014
219,Turiya Patra Vatana sabji,Vegetarian,Snack,Maharashtra,2704518,40,"Urad dal, bhuna chana, garam masala, dates, tamarind",West,None specified,2014
220,Churma Ladoo,Vegetarian,Main Course,Maharashtra,2698001,40,"Arhar dal, coconut oil, curry leaves, mustard seeds, red chilli",West,None specified,2014
221,Cheera Doi,Vegetarian,Snack,Gujarat,2680504,-1,"Rava, coconut, gram flour, mustard, sesame",West,Spicy,2014
222,Gheela Pitha,Vegetarian,Dessert,Gujarat,2636270,30,"Bottle gourd, green, raisins, sugar, clarified butter",West,Sweet,2014
223,Khar,Vegetarian,Main Course,Rajasthan,2635057,20,"Yogurt, besan, sauce, garam masala powder, gram flour",West,Spicy,2014
224,Kumol Sawul,Non-vegetarian,Dessert,Gujarat,2632033,-1,"Wheat flour, jaggery, clarified butter, sliced almonds",West,Sweet,2014
225,Luchi,Vegetarian,Snack,Gujarat,2603022,30,"Dry fruits, semolina, all purpose flour",West,Spicy,2014
226,Alu Pitika,Non-vegetarian,Snack,Gujarat,2602020,20,"Bottle gourd, chana dal, cabbage, urad dal, toor dal",West,Spicy,2014
227,Masor tenga,Non-vegetarian,Dessert,Gujarat,2528929,25,"Whole wheat rava, chia seed, lemon, edible gum, litre milk",West,Sweet,2014
228,Bengena Pitika,Vegetarian,Main Course,Gujarat,2404031,-1,"Green chilies, lemon juice, chili powder, boiled potatoes",West,Spicy,2014
229,Bilahi Maas,Non-vegetarian,Main Course,Gujarat,2396583,20,"Wheat flour, cashews, rapeseed oil",West,None specified,2014
230,Black rice,Non-vegetarian,Main Course,Gujarat,2384021,-1,"Mango, sugar",West,Sour,2014
231,Bora Sawul,Vegetarian,Snack,Gujarat,2368019,-1,"Whole wheat flour, low fat, bengal gram flour",West,Spicy,2014
232,Brown Rice,Vegetarian,Snack,Gujarat,2326033,25,"Green chili paste, white sesame seeds, gram flour, curry leaves, green chili",West,Spicy,2014
233,Chingri malai curry,Non-vegetarian,Snack,Maharashtra,2310031,40,"Rice flour, urad dal, wheat flour, gram flour, turmeric",West,Spicy,2014
234,Goja,Vegetarian,Main Course,Madhya Pradesh,2273505,60,"Cinnamon, jaggery, clarified butter, dry roasted",Central,Spicy,2014
235,Hando Guri,Vegetarian,Main Course,Maharashtra,2259023,-1,"Cucumber, carrot, tomatoes, cilantro",West,Spicy,2014
236,Haq Maas,Non-vegetarian,Main Course,Gujarat,2206542,40,"Rava, gram flour, lemon juice, turmeric, fenugreek leaves",West,Bitter,2014
